순번_정류장ID,32-2804643,33-2804197,34-2804195,35-2804717,36-2804193,37-2804191,38-2806153,39-2804189,40-2804641,41-2804740,42-2804794,43-2803700,44-2803699,45-2803697,46-2803695,47-2803693,48-2804775,49-2803741,50-2803742,51-2803743,52-2803744,53-2804666,54-2803745,55-2803746,56-2803747,57-2803748,58-2804688,59-2807370,60-2803604,61-2800266,62-2807368,63-2804602,64-2803580,65-2800263,66-2800267,67-2804032
42-2804794,,,,,,,,,,,0,0.171179,0.490691,0.8240620000000001,1.277059,1.590168,1.8208950000000002,2.610484,3.6277440000000003,3.897417,4.469803,4.779021,5.437619000000001,5.9085540000000005,6.646777,7.0548020000000005,7.480928,7.613042,7.92795,8.597123,8.894798,9.122048,9.275553,9.496551,9.746647,10.383092999999999
43-2803700,,,,,,,,,,,,0,0.319513,0.652883,1.105881,1.41899,1.6497169999999999,2.444306,3.4615660000000004,3.731239,4.303625,4.612843,5.271441,5.742376,6.4805980000000005,6.888624,7.31475,7.446864,7.761771,8.430945,8.72862,8.955869999999999,9.109374,9.330373,9.580469,10.216915
44-2803699,,,,,,,,,,,,,0,0.33337,0.7863680000000001,1.099477,1.3302040000000002,2.124793,3.1420529999999998,3.4117260000000003,3.984112,4.29333,4.951928,5.4228629999999995,6.161085,6.569111,6.9952369999999995,7.127350999999999,7.442258,8.111432,8.409107,8.636357,8.789861,9.010860000000001,9.260956,9.897402
45-2803697,,,,,,,,,,,,,,0,0.45299799999999996,0.766107,0.996834,1.791423,2.8086830000000003,3.0783560000000003,3.6507419999999997,3.9599599999999997,4.618558,5.089493,5.827715,6.235741,6.661867,6.793981,7.108888,7.778061999999999,8.075737,8.302987,8.456491,8.677489999999999,8.927586,9.564032000000001
46-2803695,,,,,,,,,,,,,,,0,0.313109,0.543837,1.338425,2.355685,2.6253580000000003,3.1977439999999997,3.506962,4.16556,4.636495,5.374718,5.782744,6.208869,6.3409830000000005,6.6558910000000004,7.325064,7.622739,7.849989,8.003494,8.224492,8.474588,9.111034
47-2803693,,,,,,,,,,,,,,,,0,0.23072800000000002,1.025316,2.042576,2.312249,2.884635,3.193854,3.8524510000000003,4.323387,5.061609,5.469635,5.895761,6.027874,6.342782,7.011955,7.3096309999999995,7.53688,7.690385000000001,7.911383,8.161479,8.797926
48-2804775,,,,,,,,,,,,,,,,,0,0.794589,1.8118490000000003,2.081522,2.6539080000000004,2.963126,3.621724,4.092658999999999,4.830881,5.238907,5.665033,5.797147,6.112054,6.781228,7.0789029999999995,7.306153,7.459657000000001,7.680656,7.930752,8.567198
49-2803741,,,,,,,,,,,,,,,,,,0,1.01726,1.2869329999999999,1.859319,2.1685369999999997,2.8271349999999997,3.2980699999999996,4.036293,4.444318,4.870444,5.0025580000000005,5.3174660000000005,5.986639,6.284314,6.511564,6.665067999999999,6.886067,7.136163000000001,7.772608999999999
50-2803742,,,,,,,,,,,,,,,,,,,0,0.269673,0.842059,1.151277,1.809875,2.28081,3.0190330000000003,3.427059,3.8531839999999997,3.9852980000000002,4.300206,4.969379,5.267054,5.4943040000000005,5.647809,5.868807,6.1189029999999995,6.755349000000001
51-2803743,,,,,,,,,,,,,,,,,,,,0,0.572386,0.881604,1.540202,2.0111369999999997,2.74936,3.1573860000000002,3.583511,3.715625,4.030533,4.699706,4.997381,5.224631,5.3781360000000005,5.599133999999999,5.84923,6.485676
52-2803744,,,,,,,,,,,,,,,,,,,,,0,0.309218,0.967816,1.4387510000000001,2.176974,2.585,3.011126,3.143239,3.4581470000000003,4.12732,4.424995,4.652245,4.80575,5.026748,5.2768440000000005,5.91329
53-2804666,,,,,,,,,,,,,,,,,,,,,,0,0.6585979999999999,1.129533,1.8677560000000002,2.275782,2.701907,2.834021,3.148929,3.8181019999999997,4.115777,4.343026999999999,4.496532,4.71753,4.967626,5.604072
54-2803745,,,,,,,,,,,,,,,,,,,,,,,0,0.47093500000000005,1.209158,1.617184,2.04331,2.175423,2.4903310000000003,3.159504,3.457179,3.684429,3.8379339999999997,4.0589319999999995,4.309028,4.945475
55-2803746,,,,,,,,,,,,,,,,,,,,,,,,0,0.738223,1.146248,1.572374,1.704488,2.019396,2.6885689999999998,2.9862439999999997,3.213494,3.366999,3.587997,3.838093,4.474539
56-2803747,,,,,,,,,,,,,,,,,,,,,,,,,0,0.408026,0.834152,0.9662649999999999,1.281173,1.950346,2.248022,2.4752709999999998,2.628776,2.849774,3.09987,3.7363169999999997
57-2803748,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.426126,0.55824,0.8731469999999999,1.5423209999999998,1.839996,2.067246,2.22075,2.441749,2.6918450000000003,3.3282910000000006
58-2804688,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.132114,0.447021,1.116195,1.4138700000000002,1.6411200000000001,1.7946240000000002,2.015623,2.265719,2.902165
59-2807370,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31490799999999997,0.986081,1.283757,1.5110059999999998,1.664511,1.885509,2.135605,2.772052
60-2803604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6711729999999999,0.968849,1.1960979999999999,1.349603,1.570601,1.820697,2.457144
61-2800266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.297676,0.524925,0.67843,0.8994280000000001,1.149524,1.785971
62-2807368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22725,0.380754,0.601753,0.851849,1.4882950000000001
63-2804602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.153505,0.37450300000000003,0.624599,1.261046
64-2803580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22099899999999997,0.47109399999999996,1.1075409999999999
65-2800263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.250096,0.8865430000000001
66-2800267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.636447
67-2804032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
